url,Headline link,Headline link_link,Value
,all,,all
https://en.wiktionary.org/wiki/Index:All_languages,English,https://en.wiktionary.org/wiki/English,en
https://en.wiktionary.org/wiki/Index:All_languages,Abkhaz,https://en.wiktionary.org/wiki/Abkhaz,ab
https://en.wiktionary.org/wiki/Index:All_languages,Adyghe,https://en.wiktionary.org/wiki/Adyghe,ady
https://en.wiktionary.org/wiki/Index:All_languages,Afrikaans,https://en.wiktionary.org/wiki/Afrikaans,af
https://en.wiktionary.org/wiki/Index:All_languages,Akan,https://en.wiktionary.org/wiki/Akan,ak
https://en.wiktionary.org/wiki/Index:All_languages,Albanian,https://en.wiktionary.org/wiki/Albanian,sq
https://en.wiktionary.org/wiki/Index:All_languages,American Sign Language,https://en.wiktionary.org/wiki/American_Sign_Language,ase
https://en.wiktionary.org/wiki/Index:All_languages,Amharic,https://en.wiktionary.org/wiki/Amharic,am
https://en.wiktionary.org/wiki/Index:All_languages,Arabic,https://en.wiktionary.org/wiki/Arabic,ar
https://en.wiktionary.org/wiki/Index:All_languages,Aragonese,https://en.wiktionary.org/wiki/Aragonese,an
https://en.wiktionary.org/wiki/Index:All_languages,Aramaic,https://en.wiktionary.org/wiki/Aramaic,arc
https://en.wiktionary.org/wiki/Index:All_languages,Armenian,https://en.wiktionary.org/wiki/Armenian,hy
https://en.wiktionary.org/wiki/Index:All_languages,Aymara,https://en.wiktionary.org/wiki/Aymara,ay
https://en.wiktionary.org/wiki/Index:All_languages,Balinese,https://en.wiktionary.org/wiki/Balinese,ban
https://en.wiktionary.org/wiki/Index:All_languages,Basque,https://en.wiktionary.org/wiki/Basque,eu
https://en.wiktionary.org/wiki/Index:All_languages,Betawi,https://en.wiktionary.org/wiki/Betawi,bew
https://en.wiktionary.org/wiki/Index:All_languages,Bosnian,https://en.wiktionary.org/wiki/Bosnian,bs
https://en.wiktionary.org/wiki/Index:All_languages,Breton,https://en.wiktionary.org/wiki/Breton,br
https://en.wiktionary.org/wiki/Index:All_languages,Bulgarian,https://en.wiktionary.org/wiki/Bulgarian,bg
https://en.wiktionary.org/wiki/Index:All_languages,Cantonese,https://en.wiktionary.org/wiki/Cantonese,yue
https://en.wiktionary.org/wiki/Index:All_languages,Catalan,https://en.wiktionary.org/wiki/Catalan,ca
https://en.wiktionary.org/wiki/Index:All_languages,Cherokee,https://en.wiktionary.org/wiki/Cherokee,chr
https://en.wiktionary.org/wiki/Index:All_languages,Chickasaw,https://en.wiktionary.org/wiki/Chickasaw,clc
https://en.wiktionary.org/wiki/Index:All_languages,Chinese,https://en.wiktionary.org/wiki/Chinese,zh
https://en.wiktionary.org/wiki/Index:All_languages,Coptic,https://en.wiktionary.org/wiki/Coptic,cop
https://en.wiktionary.org/wiki/Index:All_languages,Cornish,https://en.wiktionary.org/wiki/Cornish,kw
https://en.wiktionary.org/wiki/Index:All_languages,Corsican,https://en.wiktionary.org/wiki/Corsican,co
https://en.wiktionary.org/wiki/Index:All_languages,Crimean Tatar,https://en.wiktionary.org/wiki/Crimean_Tatar,crh
https://en.wiktionary.org/wiki/Index:All_languages,Croatian,https://en.wiktionary.org/wiki/Croatian,hr
https://en.wiktionary.org/wiki/Index:All_languages,Czech,https://en.wiktionary.org/wiki/Czech,cs
https://en.wiktionary.org/wiki/Index:All_languages,Danish,https://en.wiktionary.org/wiki/Danish,da
https://en.wiktionary.org/wiki/Index:All_languages,Dutch,https://en.wiktionary.org/wiki/Dutch,nl
https://en.wiktionary.org/wiki/Index:All_languages,Dawro,https://en.wiktionary.org/wiki/Dawro,dwr
https://en.wiktionary.org/wiki/Index:All_languages,Esperanto,https://en.wiktionary.org/wiki/Esperanto,eo
https://en.wiktionary.org/wiki/Index:All_languages,Estonian,https://en.wiktionary.org/wiki/Estonian,et
https://en.wiktionary.org/wiki/Index:All_languages,Ewe,https://en.wiktionary.org/wiki/Ewe,ee
https://en.wiktionary.org/wiki/Index:All_languages,Fiji Hindi,https://en.wiktionary.org/wiki/Fiji_Hindi,hif
https://en.wiktionary.org/wiki/Index:All_languages,Filipino,https://en.wiktionary.org/wiki/Filipino,fil
https://en.wiktionary.org/wiki/Index:All_languages,Finnish,https://en.wiktionary.org/wiki/Finnish,fi
https://en.wiktionary.org/wiki/Index:All_languages,French,https://en.wiktionary.org/wiki/French,fr
https://en.wiktionary.org/wiki/Index:All_languages,Galician,https://en.wiktionary.org/wiki/Galician,gl
https://en.wiktionary.org/wiki/Index:All_languages,Georgian,https://en.wiktionary.org/wiki/Georgian,ka
https://en.wiktionary.org/wiki/Index:All_languages,German,https://en.wiktionary.org/wiki/German,de
https://en.wiktionary.org/wiki/Index:All_languages,Greek,https://en.wiktionary.org/wiki/Greek,el
https://en.wiktionary.org/wiki/Index:All_languages,Ancient Greek,https://en.wiktionary.org/wiki/Ancient_Greek,grc
https://en.wiktionary.org/wiki/Index:All_languages,Greenlandic,https://en.wiktionary.org/wiki/Greenlandic,kl
https://en.wiktionary.org/wiki/Index:All_languages,Haitian Creole,https://en.wiktionary.org/wiki/Haitian_Creole,ht
https://en.wiktionary.org/wiki/Index:All_languages,Hawaiian,https://en.wiktionary.org/wiki/Hawaiian,haw
https://en.wiktionary.org/wiki/Index:All_languages,Hebrew,https://en.wiktionary.org/wiki/Hebrew,he
https://en.wiktionary.org/wiki/Index:All_languages,Hindi,https://en.wiktionary.org/wiki/Hindi,hi
https://en.wiktionary.org/wiki/Index:All_languages,Hungarian,https://en.wiktionary.org/wiki/Hungarian,hu
https://en.wiktionary.org/wiki/Index:All_languages,Icelandic,https://en.wiktionary.org/wiki/Icelandic,is
https://en.wiktionary.org/wiki/Index:All_languages,Indonesian,https://en.wiktionary.org/wiki/Indonesian,id
https://en.wiktionary.org/wiki/Index:All_languages,Inuktitut,https://en.wiktionary.org/wiki/Inuktitut,iu
https://en.wiktionary.org/wiki/Index:All_languages,Interlingua,https://en.wiktionary.org/wiki/Interlingua,ia
https://en.wiktionary.org/wiki/Index:All_languages,Irish,https://en.wiktionary.org/wiki/Irish,ga
https://en.wiktionary.org/wiki/Index:All_languages,Italian,https://en.wiktionary.org/wiki/Italian,it
https://en.wiktionary.org/wiki/Index:All_languages,Japanese,https://en.wiktionary.org/wiki/Japanese,ja
https://en.wiktionary.org/wiki/Index:All_languages,Javanese,https://en.wiktionary.org/wiki/Javanese,jv
https://en.wiktionary.org/wiki/Index:All_languages,Kabardian,https://en.wiktionary.org/wiki/Kabardian,kbd
https://en.wiktionary.org/wiki/Index:All_languages,Kalasha,https://en.wiktionary.org/wiki/Kalasha,kls
https://en.wiktionary.org/wiki/Index:All_languages,Kannada,https://en.wiktionary.org/wiki/Kannada,kn
https://en.wiktionary.org/wiki/Index:All_languages,Kashubian,https://en.wiktionary.org/wiki/Kashubian,csb
https://en.wiktionary.org/wiki/Index:All_languages,Khmer,https://en.wiktionary.org/wiki/Khmer,km
https://en.wiktionary.org/wiki/Index:All_languages,Kinyarwanda,https://en.wiktionary.org/wiki/Kinyarwanda,rw
https://en.wiktionary.org/wiki/Index:All_languages,Korean,https://en.wiktionary.org/wiki/Korean,ko
https://en.wiktionary.org/wiki/Index:All_languages,Kurdish; Kurdî,https://en.wiktionary.org/wiki/Kurdish; https://en.wiktionary.org/w/index.php?title=Kurd%C3%AE&action=edit&redlink=1,ku
https://en.wiktionary.org/wiki/Index:All_languages,Ladin,https://en.wiktionary.org/wiki/Ladin,lld
https://en.wiktionary.org/wiki/Index:All_languages,Latgalian,https://en.wiktionary.org/wiki/Latgalian,ltg
https://en.wiktionary.org/wiki/Index:All_languages,Latin,https://en.wiktionary.org/wiki/Latin,la
https://en.wiktionary.org/wiki/Index:All_languages,Lingala,https://en.wiktionary.org/wiki/Lingala,ln
https://en.wiktionary.org/wiki/Index:All_languages,Livonian,https://en.wiktionary.org/wiki/Livonian,liv
https://en.wiktionary.org/wiki/Index:All_languages,Lojban,https://en.wiktionary.org/wiki/Lojban,jbo
https://en.wiktionary.org/wiki/Index:All_languages,Lower Sorbian,https://en.wiktionary.org/wiki/Lower_Sorbian,dsb
https://en.wiktionary.org/wiki/Index:All_languages,Low German,https://en.wiktionary.org/wiki/Low_German,nds-nl or nds-de
https://en.wiktionary.org/wiki/Index:All_languages,Macedonian,https://en.wiktionary.org/wiki/Macedonian,mk
https://en.wiktionary.org/wiki/Index:All_languages,Malay,https://en.wiktionary.org/wiki/Malay,ms
https://en.wiktionary.org/wiki/Index:All_languages,Malayalam,https://en.wiktionary.org/wiki/Malayalam,ml
https://en.wiktionary.org/wiki/Index:All_languages,Mandarin,https://en.wiktionary.org/wiki/Mandarin,cmn
https://en.wiktionary.org/wiki/Index:All_languages,Manx,https://en.wiktionary.org/wiki/Manx,gv
https://en.wiktionary.org/wiki/Index:All_languages,Maori,https://en.wiktionary.org/wiki/Maori,mi
https://en.wiktionary.org/wiki/Index:All_languages,Mauritian Creole,https://en.wiktionary.org/wiki/Mauritian_Creole,mfe
https://en.wiktionary.org/wiki/Index:All_languages,Middle Low German,https://en.wiktionary.org/wiki/Middle_Low_German,gml
https://en.wiktionary.org/wiki/Index:All_languages,Min Nan,https://en.wiktionary.org/wiki/Min_Nan,nan
https://en.wiktionary.org/wiki/Index:All_languages,Mongolian,https://en.wiktionary.org/wiki/Mongolian,mn
https://en.wiktionary.org/wiki/Index:All_languages,Norwegian,https://en.wiktionary.org/wiki/Norwegian,no
https://en.wiktionary.org/wiki/Index:All_languages,Old Armenian,https://en.wiktionary.org/wiki/Old_Armenian,xcl
https://en.wiktionary.org/wiki/Index:All_languages,Old English,https://en.wiktionary.org/wiki/Old_English,ang
https://en.wiktionary.org/wiki/Index:All_languages,Old French,https://en.wiktionary.org/wiki/Old_French,fro
https://en.wiktionary.org/wiki/Index:All_languages,Old Javanese,https://en.wiktionary.org/wiki/Old_Javanese,kaw
https://en.wiktionary.org/wiki/Index:All_languages,Old Norse,https://en.wiktionary.org/wiki/Old_Norse,non
https://en.wiktionary.org/wiki/Index:All_languages,Old Prussian,https://en.wiktionary.org/wiki/Old_Prussian,prg
