Count number,Desc link,Description value,Country,Rank
1,Gazetaexpress.com,"Gazeta Express since going exclusively online, became number one media portal in the Balkans. G",Albanija,
2,Telegrafi.com,"Telegrafi is the leading Albanian online media providing news in Kosovo, Macedonia, Albania, Mo",Albanija,
3,Youtube.com,"User-submitted videos with rating, comments, and contests.",Albanija,
4,Google.com,"Enables users to search the world's information, including webpages, images, and videos. Offers",Albanija,
5,Lajmi.net,"Lajme të Kosovës nga politika, zgjedhjet, ekonomia, sporti, showbiz, lifestyle, arti dhe teknol",Albanija,
6,Google.al,,Albanija,
7,Koha.net,"Politika, ekonomia, kultura e sporti vijnë më së shpejti te ju nëpërmjet portalit koha.net. Çdo",Albanija,
8,Balkanweb.com,"Balkanweb, is the first interactive site about balkan region. The most clicked web in Albania.",Albanija,
9,Syri.net,"Ne SYRI.net do te gjeni opinionistë me emër, seriozë, dhe gazetarë investigativë. Ju ftojmë të",Albanija,
10,Merrjep.com,MerrJep.com ështe faqja më e rre për shpallje të vogla në Kosovë. Aty vijnë edhe persona privat,Albanija,
11,Gazetablic.com,"Portal i Lajmeve, Analizës, Komenteve nga Politika, Ekonomia, Sporti, Showbizz, Teknologjia. Br",Albanija,
12,Facebook.com,"A social utility that connects people, to keep up with friends, upload photos, share links and",Albanija,
13,Noa.al,"NOA.al is the leading Albanian online media providing news in Albania, Kosovo, Macedonia, Monte",Albanija,
14,Tvklan.al,"Televizioni Kombëtar Klan, rekord në shikueshmëri. Programacion i pasur për të gjithë grup-mosh",Albanija,
15,Albeu.com,"Albeu.com është portal i pavarur, i themeluar në korrik të vitit 2003. Portali Albeu është port",Bugarska,
16,Merrjep.al,MerrJep.al ështe faqja më e re për njoftime të vogla në Shqipëri. Aty vijnë edhe persona privat,Bugarska,
17,Gazetatema.net,,Bugarska,
18,Anabel.al,Albania's Most Popular Fashion & Lifestyle Magazine.,Bugarska,
19,Infokosova.net,"InfoKosova është ndër portalet e para online në gjuhën shqipe, është themeluar në Mars të vitit",Bugarska,
20,Opinion.al,"Ngjarjet më të fundit dhe më të rëndesishme në jetën politike dhe sociale të vendit, me debatet",Bugarska,
21,Revistaclass.al,"Albania's Most Classy Fashion and Beauty Magazine, featuring the latest fashion news and trends",Bugarska,
22,Kosovarja-ks.com,Portali kosovarja-ks.com është themeluar në nëntor të vitit 2008 nga revista Kosovarja. Qëllimi,Bugarska,
23,Filma24.tv,Faqja e parë shqiptare ku mund të shikoni filma dhe seriale HD,Bugarska,
24,Lexo.al,"Lexo.al është një media Online e iniciuar nga një grup profesionistësh të rinj, me vullnetin pë",Bugarska,
25,Ikub.al,"Informacione te shumellojshme si lajme, njoftime, prona ne shitje, oferta punesimi, makina ne s",Bugarska,
,Vk.com,,Bugarska,
,Google.com.ua,,Bugarska,
,Youtube.com,,Crna gora ,
,Google.com,,Crna gora ,
,Ok.ru,,Crna gora ,
,Yandex.ua,,Crna gora ,
,Olx.ua,,Crna gora ,
,Mail.ru,,Crna gora ,
,Wikipedia.org,,Crna gora ,
,Rozetka.com.ua,,Crna gora ,
,Kinogo.club,,Crna gora ,
,Telegraf.com.ua,,Crna gora ,
,Aliexpress.com,"Launched in April 2010, AliExpress (www.aliexpress.com) is a global retail marketplace targeted",Crna gora ,
,Ukr.net,,Crna gora ,
,Sinoptik.ua,,Hrvatska,
,Instagram.com,,Hrvatska,
,Privatbank.ua,,Hrvatska,
,Prom.ua,,Hrvatska,
,Google.ru,,Hrvatska,
,Gismeteo.ua,,Hrvatska,
,I.ua,,Hrvatska,
,Privat24.ua,,Hrvatska,
,Kinopoisk.ru,,Hrvatska,
,Ria.com,,Hrvatska,
,My-hit.org,,Mirovne operacije,
,Google.com.cy,,Mirovne operacije,
,Youtube.com,,Mirovne operacije,
,Google.com,"Enables users to search the world's information, including webpages, images, and videos. Offers…More unique features and search technology.; Enables users to search the world's information, including webpages, images, and videos. Offers",Mirovne operacije,
